domain,method,feature,feature_group,rank,score
noise,ablation,i_time_of_peak,temporal,14,0.0005830337519085071
noise,ablation,z_time_of_peak,temporal,15,0.0005711726943625705
noise,ablation,r_std_flux,variability,16,0.0005484111047620976
no_z,gain,i_std_flux,variability,1,181.7134246826172
no_z,gain,peak_color_r_minus_i,color,2,86.46285247802734
no_z,gain,peak_color_g_minus_r,color,3,78.85380554199219
no_z,gain,i_peak_flux,brightness,4,71.95807647705078
no_z,gain,r_std_flux,variability,5,44.63920974731445
no_z,gain,g_mean_flux,brightness,6,37.937435150146484
no_z,gain,r_mean_flux,brightness,7,27.325971603393555
no_z,gain,i_time_of_peak,temporal,8,27.19997215270996
no_z,gain,r_peak_flux,brightness,9,21.29083251953125
no_z,gain,time_span,temporal,10,15.152864456176758
no_z,gain,r_time_of_peak,temporal,11,13.650014877319336
no_z,gain,i_amplitude,variability,12,9.315398216247559
no_z,gain,peak_color_i_minus_z,color,13,7.571592807769775
no_z,gain,z_peak_flux,brightness,14,7.40540885925293
no_z,gain,z_std_flux,variability,15,6.869220733642578
no_z,gain,z_time_of_peak,temporal,16,6.672628402709961
no_z,permutation,peak_color_r_minus_i,color,1,0.25203404251119954
no_z,permutation,peak_color_g_minus_r,color,2,0.13618766502217217
no_z,permutation,r_mean_flux,brightness,3,0.09687404394074577
no_z,permutation,i_std_flux,variability,4,0.08250448261449213
no_z,permutation,i_peak_flux,brightness,5,0.0774075739465033
no_z,permutation,r_std_flux,variability,6,0.05262353225855985
no_z,permutation,g_mean_flux,brightness,7,0.035179796496197804
no_z,permutation,i_time_of_peak,temporal,8,0.026698029505914246
no_z,permutation,r_time_of_peak,temporal,9,0.019926450596640888
no_z,permutation,i_amplitude,variability,10,0.008457963032053307
no_z,permutation,time_span,temporal,11,0.00696081577442873
no_z,permutation,r_peak_flux,brightness,12,0.005723019133157115
no_z,permutation,z_peak_flux,brightness,13,-0.0002744916582088974
no_z,permutation,z_std_flux,variability,14,-0.00045022284993823103
no_z,permutation,z_time_of_peak,temporal,15,-0.0010309219658467539
no_z,permutation,peak_color_i_minus_z,color,16,-0.0027113403457720065
no_z,ablation,peak_color_r_minus_i,color,1,0.028297028204400436
no_z,ablation,peak_color_g_minus_r,color,2,0.01719709677351434
no_z,ablation,r_mean_flux,brightness,3,0.005785786470943521
no_z,ablation,g_mean_flux,brightness,4,0.00544731574323154
no_z,ablation,i_std_flux,variability,5,0.0030619498454641514
no_z,ablation,i_amplitude,variability,6,0.002044875059114215
no_z,ablation,r_std_flux,variability,7,0.0017017671975240178
no_z,ablation,i_time_of_peak,temporal,8,0.0013616318784344106
no_z,ablation,peak_color_i_minus_z,color,9,0.0011919965942952526
no_z,ablation,r_peak_flux,brightness,10,0.00033911812947662323
no_z,ablation,z_peak_flux,brightness,11,0.0
no_z,ablation,i_peak_flux,brightness,12,0.0
no_z,ablation,z_std_flux,variability,13,0.0
no_z,ablation,time_span,temporal,14,0.0
no_z,ablation,z_time_of_peak,temporal,15,0.0
no_z,ablation,r_time_of_peak,temporal,16,0.0
no_i,gain,z_peak_flux,brightness,1,62.776466369628906
no_i,gain,g_mean_flux,brightness,2,54.72572708129883
no_i,gain,peak_color_g_minus_r,color,3,50.98983383178711
no_i,gain,z_std_flux,variability,4,46.78327178955078
no_i,gain,r_peak_flux,brightness,5,45.142757415771484
no_i,gain,z_time_of_peak,temporal,6,42.41603088378906
