subset_name,selection_rule,domain,feature_count,feature_list,f1,pr_auc,roc_auc,delta_f1
top_10,ablation-plus-importance with minimum one feature per physical family when possible,short_span,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",0.8250330542089026,0.8992545208077893,0.9686684056799718,-0.019196871191097364
top_10,ablation-plus-importance with minimum one feature per physical family when possible,flux_scale,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",0.8092941692240245,0.8868390767174714,0.9638548385031661,-0.03493575617597544
top_10,ablation-plus-importance with minimum one feature per physical family when possible,plasticc_train,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",0.7085308056872037,0.7433592688780499,0.8846990662270023,-0.13569911971279625
top_10,ablation-plus-importance with minimum one feature per physical family when possible,plasticc,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",0.7085308056872037,0.7433592688780499,0.8846990662270023,-0.13569911971279625
compact,frozen Tier-3 compact baseline,spcc,16,"z_peak_flux, r_mean_flux, peak_color_g_minus_r, i_peak_flux, peak_color_r_minus_i, peak_color_i_minus_z, g_mean_flux, r_peak_flux, z_std_flux, i_amplitude, i_std_flux, time_span, z_time_of_peak, i_time_of_peak, r_time_of_peak, r_std_flux",0.8407473309608541,0.9119884460385523,0.9737442925939331,-0.003482594439145892
compact,frozen Tier-3 compact baseline,noise,16,"z_peak_flux, r_mean_flux, peak_color_g_minus_r, i_peak_flux, peak_color_r_minus_i, peak_color_i_minus_z, g_mean_flux, r_peak_flux, z_std_flux, i_amplitude, i_std_flux, time_span, z_time_of_peak, i_time_of_peak, r_time_of_peak, r_std_flux",0.8261253309796998,0.9041435703183092,0.9704749767269305,-0.018104594420300213
compact,frozen Tier-3 compact baseline,no_z,16,"z_peak_flux, r_mean_flux, peak_color_g_minus_r, i_peak_flux, peak_color_r_minus_i, peak_color_i_minus_z, g_mean_flux, r_peak_flux, z_std_flux, i_amplitude, i_std_flux, time_span, z_time_of_peak, i_time_of_peak, r_time_of_peak, r_std_flux",0.8022118247554232,0.8555518764975616,0.95829209864846,-0.042018100644576784
compact,frozen Tier-3 compact baseline,no_i,16,"z_peak_flux, r_mean_flux, peak_color_g_minus_r, i_peak_flux, peak_color_r_minus_i, peak_color_i_minus_z, g_mean_flux, r_peak_flux, z_std_flux, i_amplitude, i_std_flux, time_span, z_time_of_peak, i_time_of_peak, r_time_of_peak, r_std_flux",0.7960917587085812,0.862274644151704,0.9574052081085529,-0.04813816669141879
compact,frozen Tier-3 compact baseline,short_span,16,"z_peak_flux, r_mean_flux, peak_color_g_minus_r, i_peak_flux, peak_color_r_minus_i, peak_color_i_minus_z, g_mean_flux, r_peak_flux, z_std_flux, i_amplitude, i_std_flux, time_span, z_time_of_peak, i_time_of_peak, r_time_of_peak, r_std_flux",0.8372715113687027,0.9107946309324836,0.9732318322502755,-0.006958414031297266
compact,frozen Tier-3 compact baseline,flux_scale,16,"z_peak_flux, r_mean_flux, peak_color_g_minus_r, i_peak_flux, peak_color_r_minus_i, peak_color_i_minus_z, g_mean_flux, r_peak_flux, z_std_flux, i_amplitude, i_std_flux, time_span, z_time_of_peak, i_time_of_peak, r_time_of_peak, r_std_flux",0.8275555555555555,0.9003442864498414,0.9696939509380897,-0.01667436984444448
compact,frozen Tier-3 compact baseline,plasticc_train,16,"z_peak_flux, r_mean_flux, peak_color_g_minus_r, i_peak_flux, peak_color_r_minus_i, peak_color_i_minus_z, g_mean_flux, r_peak_flux, z_std_flux, i_amplitude, i_std_flux, time_span, z_time_of_peak, i_time_of_peak, r_time_of_peak, r_std_flux",0.7281437125748502,0.7674303247179611,0.8945668587629819,-0.11608621282514975
compact,frozen Tier-3 compact baseline,plasticc,16,"z_peak_flux, r_mean_flux, peak_color_g_minus_r, i_peak_flux, peak_color_r_minus_i, peak_color_i_minus_z, g_mean_flux, r_peak_flux, z_std_flux, i_amplitude, i_std_flux, time_span, z_time_of_peak, i_time_of_peak, r_time_of_peak, r_std_flux",0.7281437125748502,0.7674303247179611,0.8945668587629819,-0.11608621282514975
