fold,seed,test_events,full_f1,compact_f1,paired_delta_f1_compact_minus_full,full_roc_auc,compact_roc_auc,full_pr_auc,compact_pr_auc,full_best_iteration,compact_best_iteration,full_params,compact_params
1,43,4265,0.8415398388540734,0.8406961178045517,-0.000843721049521684,0.9762600871410394,0.9758026602158982,0.9252991350007921,0.924554150484463,400,400,"{""colsample_bytree"": 0.8, ""eta"": 0.03, ""lambda"": 1.5, ""max_depth"": 5, ""min_child_weight"": 2.0, ""subsample"": 0.8}","{""colsample_bytree"": 0.8, ""eta"": 0.03, ""lambda"": 1.5, ""max_depth"": 5, ""min_child_weight"": 2.0, ""subsample"": 0.8}"
2,44,4264,0.8570155902004454,0.8521970705725699,-0.004818519627875495,0.9789400767697163,0.9786332157940799,0.9306939142043632,0.9313391278575851,400,400,"{""colsample_bytree"": 0.8, ""eta"": 0.03, ""lambda"": 1.5, ""max_depth"": 5, ""min_child_weight"": 2.0, ""subsample"": 0.8}","{""colsample_bytree"": 0.8, ""eta"": 0.03, ""lambda"": 1.5, ""max_depth"": 5, ""min_child_weight"": 2.0, ""subsample"": 0.8}"
3,45,4264,0.8476404494382022,0.8407871198568873,-0.006853329581314904,0.9748670571729813,0.9740296959110624,0.92165571495294,0.9203784783783072,400,400,"{""colsample_bytree"": 0.9, ""eta"": 0.05, ""lambda"": 1.0, ""max_depth"": 4, ""min_child_weight"": 1.0, ""subsample"": 0.9}","{""colsample_bytree"": 0.9, ""eta"": 0.05, ""lambda"": 1.0, ""max_depth"": 4, ""min_child_weight"": 1.0, ""subsample"": 0.9}"
4,46,4263,0.8310662571303205,0.8330404217926186,0.0019741646622981612,0.9718690154011502,0.9721654243843568,0.9137255990968597,0.9159020147919306,400,400,"{""colsample_bytree"": 0.9, ""eta"": 0.05, ""lambda"": 1.0, ""max_depth"": 4, ""min_child_weight"": 1.0, ""subsample"": 0.9}","{""colsample_bytree"": 0.8, ""eta"": 0.03, ""lambda"": 1.5, ""max_depth"": 5, ""min_child_weight"": 2.0, ""subsample"": 0.8}"
5,47,4263,0.8421052631578948,0.838938053097345,-0.0031672100605497633,0.976088564641392,0.9752197849134038,0.9232469999616415,0.9217259832315156,400,400,"{""colsample_bytree"": 0.8, ""eta"": 0.03, ""lambda"": 1.5, ""max_depth"": 5, ""min_child_weight"": 2.0, ""subsample"": 0.8}","{""colsample_bytree"": 0.8, ""eta"": 0.03, ""lambda"": 1.5, ""max_depth"": 5, ""min_child_weight"": 2.0, ""subsample"": 0.8}"
