train_domain,test_domain,feature_count,f1,pr_auc,roc_auc,delta_f1,delta_pr_auc,delta_roc_auc
spcc,spcc,16,0.8234258036107442,0.892174334998761,0.9678670813400416,-0.020804121789255725,-0.035586546001239006,-0.008721302459958391
spcc,noise,16,0.7701200533570476,0.8281820000839819,0.9440269015136161,-0.07410987204295238,-0.09957888091601808,-0.03256148228638389
spcc,no_z,16,0.6983289357959543,0.6859665390285034,0.9083835826567931,-0.14590098960404563,-0.24179434197149663,-0.06820480114320693
spcc,no_i,16,0.5032679738562091,0.583059576990552,0.8577825737875754,-0.34096195154379083,-0.344701304009448,-0.11880581001242463
spcc,short_span,16,0.792358803986711,0.8770530743685162,0.9620879277021822,-0.05187112141328898,-0.050707806631483776,-0.014500456097817804
spcc,flux_scale,16,0.7349857006673023,0.7961857178804955,0.9274087900221066,-0.10924422473269768,-0.13157516311950446,-0.04917959377789338
spcc,plasticc,16,0.5477386934673367,0.5595076175099261,0.7284600449936824,-0.29649123193266325,-0.3682532634900739,-0.24812833880631757
