train_domain,test_domain,feature_count,f1,pr_auc,roc_auc,delta_f1,delta_pr_auc,delta_roc_auc
spcc,spcc,16,0.8348826914563966,0.908937409215515,0.9726494199767097,-0.009347233943603372,-0.018823471784484958,-0.003938963823290287
spcc,noise,16,0.8217602830605927,0.9028242653966889,0.9698020016869657,-0.022469642339407292,-0.024936615603311063,-0.006786382113034284
spcc,no_z,16,0.6614963503649636,0.6807677597177156,0.9056894964991246,-0.1827335750350364,-0.24699312128228434,-0.07089888730087546
spcc,no_i,16,0.6333887964503605,0.709148388551774,0.9105889421613085,-0.21084112894963947,-0.218612492448226,-0.06599944163869154
spcc,short_span,16,0.8190143916266899,0.8989625301041433,0.9689716348047076,-0.025215533773310095,-0.028798350895856695,-0.0076167489952924106
spcc,flux_scale,16,0.7631191760666993,0.829416587722847,0.9432046540517938,-0.08111074933330065,-0.098344293277153,-0.03338372974820625
spcc,plasticc,16,0.4834355828220859,0.48728465681079003,0.6706431631175075,-0.3607943425779141,-0.44047622418920995,-0.3059452206824925
