feature,spcc_ia_centroid,plasticc_ia_centroid,ia_shift_plasticc_minus_spcc,abs_ia_shift,spcc_non_ia_centroid,plasticc_non_ia_centroid,non_ia_shift_plasticc_minus_spcc,abs_non_ia_shift
r_mean_flux,0.06362226434369718,3.710842633537805,3.6472203691941076,3.6472203691941076,-0.019943939435693107,3.986976302040998,4.006920241476691,4.006920241476691
g_mean_flux,-0.13620618658700548,3.268772214907173,3.4049784014941786,3.4049784014941786,0.042697127555584025,3.8902834820876335,3.8475863545320497,3.8475863545320497
r_std_flux,0.19685331726375857,1.521568924845681,1.3247156075819224,1.3247156075819224,-0.061708439297517265,1.6847671455179376,1.746475584815455,1.746475584815455
z_time_of_peak,-0.2081504561254098,-1.4745518116510923,-1.2664013555256826,1.2664013555256826,0.0652498010452887,-0.4129754234278,-0.47822522447308874,0.47822522447308874
r_time_of_peak,-0.042232359479111595,-1.2947993976833951,-1.2525670382042835,1.2525670382042835,0.013238755777815279,-0.10491171929192436,-0.11815047506973964,0.11815047506973964
i_time_of_peak,-0.12355489531209955,-1.3361837068001354,-1.212628811488036,1.212628811488036,0.03873127394171411,-0.3060596713370082,-0.3447909452787223,0.3447909452787223
r_peak_flux,0.25679478029165753,1.4120380836326387,1.1552433033409812,1.1552433033409812,-0.08049854242646497,1.768726922525405,1.84922546495187,1.84922546495187
z_peak_flux,0.4856078445537266,1.4242895604804617,0.9386817159267351,0.9386817159267351,-0.152225538358041,1.8981686485272349,2.050394186885276,2.050394186885276
time_span,0.008557929042722656,-0.9252657662837827,-0.9338236953265053,0.9338236953265053,-0.002682690097305681,-0.01484659492881146,-0.012163904831505779,0.012163904831505779
i_std_flux,0.4343172427355076,1.3624424697777777,0.9281252270422702,0.9281252270422702,-0.1361472571645776,1.4734853788282938,1.6096326359928714,1.6096326359928714
i_peak_flux,0.540354240205862,1.434727482806925,0.894373242601063,0.894373242601063,-0.16938712181427085,1.754094046930068,1.923481168744339,1.923481168744339
peak_color_g_minus_r,0.3126546074816552,1.1332916333855922,0.8206370259039371,0.8206370259039371,-0.09800915796110296,0.6043951444485183,0.7024043024096213,0.7024043024096213
peak_color_r_minus_i,0.49172578711439363,-0.12226108098323146,-0.613986868097625,0.613986868097625,-0.15414335560581818,-0.2657353974914196,-0.11159204188560143,0.11159204188560143
z_std_flux,0.38768690345655615,0.9570137695750792,0.5693268661185231,0.5693268661185231,-0.12152984811699623,1.467653218080122,1.5891830661971182,1.5891830661971182
i_amplitude,0.526816750114391,0.26748390037857384,-0.25933284973581716,0.25933284973581716,-0.16514346772115346,0.3144497738349372,0.4795932415560907,0.4795932415560907
peak_color_i_minus_z,-0.1529093697004481,0.026779294975286184,0.1796886646757343,0.1796886646757343,0.04793314478688192,0.22979192059751635,0.18185877581063442,0.18185877581063442
