name,feature_count,f1,roc_auc,pr_auc,delta_f1_vs_full,delta_roc_auc_vs_full,delta_pr_auc_vs_full
31-feature full baseline,31,0.8367166813768756,0.97644857143203,0.9280708772809935,0.0,0.0,0.0
30-feature working set,30,0.8405286343612335,0.9763983358087995,0.9282037445394934,0.0038119529843578803,-5.023562323047681e-05,0.00013286725849992465
16-feature compact baseline,16,0.8442299254058797,0.9765883838292134,0.9277608810161283,0.007513244029004107,0.0001398123971834142,-0.0003099962648651644
