block_removed,remaining_feature_count,f1,roc_auc,pr_auc,delta_f1,delta_roc_auc,delta_pr_auc
temporal,12,0.7976341360371778,0.9587695661699998,0.8728682054391985,-0.04659578936282216,-0.01781881763000026,-0.05489267556080146
brightness,11,0.8191489361702128,0.968468824256422,0.9078330239994166,-0.025080989229787187,-0.008119559543578014,-0.019927857000583415
color,13,0.8318201469952443,0.9723637494900782,0.9079421192341338,-0.012409778404755656,-0.004224634309921815,-0.019818761765866166
variability,12,0.8318739054290718,0.9732283469332665,0.9185579667535891,-0.012356019970928167,-0.0033600368667334735,-0.009202914246410843
