subset_name,selection_rule,feature_count,feature_list,f1,roc_auc,pr_auc,delta_f1,delta_roc_auc,delta_pr_auc
top_5,ablation-plus-importance with minimum one feature per physical family when possible,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",0.7069729947601773,0.9116788140035129,0.7459031823458526,-0.1372569306398227,-0.0649095697964871,-0.18185769865414736
top_8,ablation-plus-importance with minimum one feature per physical family when possible,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",0.7963994856408058,0.9611436533039909,0.8743605319171213,-0.04783043975919421,-0.01544473049600914,-0.05340034908287872
top_10,ablation-plus-importance with minimum one feature per physical family when possible,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",0.8385093167701864,0.9731647958436377,0.9168996508123186,-0.005720608629813606,-0.0034235879563623284,-0.01086123018768137
