subset_name,feature_count,included_blocks,f1,roc_auc,pr_auc,delta_f1,delta_roc_auc,delta_pr_auc
brightness_only,5,brightness,0.7500000000000001,0.9418652789529686,0.8264338113180455,-0.09422992539999986,-0.03472310484703145,-0.10132706968195448
color_only,3,color,0.6210325047801147,0.8404006684364131,0.5816754701010557,-0.22319742061988523,-0.13618771536358687,-0.3460854108989443
temporal_only,4,temporal,0.5337954939341422,0.7815093867985624,0.4955503311855783,-0.3104344314658578,-0.1950789970014376,-0.4322105498144217
brightness_plus_color,8,"brightness,color",0.7682724252491694,0.9494284638672714,0.849357148315552,-0.07595750015083058,-0.027159919932728593,-0.078403732684448
brightness_plus_color_plus_variability,12,"brightness,color,variability",0.791578947368421,0.9579058765995204,0.8705090243544948,-0.05265097803157892,-0.018682507200479592,-0.05725185664550514
full_compact,16,"brightness,color,variability,temporal",0.8422907488986785,0.9765127277701314,0.9282036618688263,-0.0019391765013214712,-7.56560298685871e-05,0.0004427808688263202
