seed,selected_candidate,best_iteration,max_depth,eta,subsample,colsample_bytree,min_child_weight,lambda,validation_pr_auc,accuracy,precision,recall,f1,roc_auc,pr_auc
11,3,400,5,0.03,0.8,0.8,2.0,1.5,0.9215995233675324,0.9183864915572233,0.7688603531300161,0.9410609037328095,0.8462897526501766,0.9788054089845504,0.9333961995718498
22,2,400,4,0.05,0.9,0.9,1.0,1.0,0.9235208852694456,0.9186210131332082,0.7734311328443357,0.9322200392927309,0.84543429844098,0.9753497428299239,0.9249920258330819
33,3,400,5,0.03,0.8,0.8,2.0,1.5,0.9256740839870681,0.9151031894934334,0.7636655948553055,0.9332023575638507,0.8399646330680814,0.9772523414037164,0.9284344546915972
44,3,400,5,0.03,0.8,0.8,2.0,1.5,0.9349551260705572,0.9136960600375235,0.759170653907496,0.9351669941060904,0.8380281690140845,0.9740920365037459,0.917162276042796
55,3,400,5,0.03,0.8,0.8,2.0,1.5,0.9223786860970371,0.9148686679174484,0.7699917559769167,0.9174852652259332,0.8372926938592559,0.9745414334946926,0.9242346741861099
