subset_name,feature_count,feature_list,selection_rule,seed,model_name,scenario_name,f1,roc_auc,pr_auc
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,42,logistic_regression,noisy,0.5485418973791066,0.7841907888445443,0.4723508405314752
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,52,xgboost,clean,0.8033970276008492,0.9602984238119275,0.8696297579200729
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,52,xgboost,noisy,0.6697038724373575,0.8858104942822177,0.6969113855407255
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,52,random_forest,clean,0.7742946708463949,0.9582272635385004,0.8796196515460346
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,52,random_forest,noisy,0.5471817606079797,0.8897405239272879,0.7049345778540579
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,52,logistic_regression,clean,0.6713559984368894,0.8750851887225263,0.5758376932903919
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,52,logistic_regression,noisy,0.5400683630839347,0.7875623254614716,0.48476543868481736
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,62,xgboost,clean,0.8008510638297872,0.9602500039341151,0.8682595552772518
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,62,xgboost,noisy,0.6780575539568345,0.8925581068796173,0.7086248995332602
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,62,random_forest,clean,0.7800312012480499,0.957927665544536,0.8729440432617127
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,62,random_forest,noisy,0.5397835773392744,0.8943269455409529,0.7182765072035711
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,62,logistic_regression,clean,0.6640986132511556,0.8673476922480986,0.5457427196448155
top_8,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",ablation-plus-importance with minimum one feature per physical family when possible,62,logistic_regression,noisy,0.5424616535727647,0.7852333293386934,0.467071482613883
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,42,xgboost,clean,0.8385093167701864,0.9731647958436377,0.9168996508123186
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,42,xgboost,noisy,0.7227906976744186,0.9215222725385452,0.8008758658340455
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,42,random_forest,clean,0.8146981627296588,0.971684963327995,0.9182373407654713
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,42,random_forest,noisy,0.6419001218026797,0.9221007387662857,0.8036808288600578
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,42,logistic_regression,clean,0.6762534006995724,0.8677002494834204,0.5405560455099153
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,42,logistic_regression,noisy,0.5649847094801224,0.8015819984578268,0.48130244279634987
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,52,xgboost,clean,0.8365086397873284,0.9725380610502029,0.9110416985015705
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,52,xgboost,noisy,0.742671009771987,0.9300708019663312,0.7979474197202754
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,52,random_forest,clean,0.8111227701993704,0.9705395305934945,0.9147917860054698
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,52,random_forest,noisy,0.6477341389728096,0.9302446595901015,0.8163480338382713
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,52,logistic_regression,clean,0.6928207140054923,0.8869029677753608,0.599635131339409
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,52,logistic_regression,noisy,0.5901253918495298,0.8178129467490288,0.5054831955312065
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,62,xgboost,clean,0.8350197976242851,0.9713726551161048,0.9094742487633417
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,62,xgboost,noisy,0.7432246210381259,0.926296775115088,0.8030262440863296
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,62,random_forest,clean,0.8106694560669456,0.9689990219184682,0.9081825704054362
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,62,random_forest,noisy,0.6515783204288267,0.9267154557460474,0.8035385311383851
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,62,logistic_regression,clean,0.6767676767676768,0.8759821669590017,0.5638849943788886
top_10,10,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux, peak_color_g_minus_r, z_time_of_peak",ablation-plus-importance with minimum one feature per physical family when possible,62,logistic_regression,noisy,0.5755725190839696,0.8087278645502338,0.49044830250862587
