protocol,run_id,seed,accuracy,precision,recall,f1,roc_auc,pr_auc
kfold_cv,fold_1,43,0.9162954279015241,0.7702371218315618,0.925343811394892,0.8406961178045517,0.9758026602158982,0.924554150484463
kfold_cv,fold_2,44,0.9219043151969981,0.7773279352226721,0.9430255402750491,0.8521970705725699,0.9786332157940799,0.9313391278575851
kfold_cv,fold_3,45,0.9165103189493433,0.7717569786535303,0.9233791748526523,0.8407871198568873,0.9740296959110624,0.9203784783783072
kfold_cv,fold_4,46,0.9108608960825709,0.7529785544082606,0.9321533923303835,0.8330404217926186,0.9721654243843568,0.9159020147919306
kfold_cv,fold_5,47,0.9146141215106732,0.7626709573612228,0.9321533923303835,0.838938053097345,0.9752197849134038,0.9217259832315156
random_split,seed_42,42,0.9167448405253283,0.7628865979381443,0.9449901768172888,0.8442299254058797,0.9765883838292134,0.9277608810161283
random_split,seed_52,52,0.9202626641651032,0.7760586319218241,0.9361493123772102,0.848619768477293,0.9754045178166992,0.9229939900208962
random_split,seed_62,62,0.9160412757973734,0.7648475120385233,0.9361493123772102,0.8418727915194346,0.9735312737938305,0.916051048623556
random_split,seed_72,72,0.9172138836772983,0.7701056051990252,0.931237721021611,0.8430413517118719,0.9762909042049033,0.9229920963739693
random_split,seed_82,82,0.9197936210131332,0.7756933115823818,0.9341846758349706,0.8475935828877005,0.9760548573005676,0.9263310350848151
