model_name,model_label,feature_count,f1,roc_auc,pr_auc,delta_f1,delta_roc_auc,delta_pr_auc,top_permutation_features,top_native_features
xgboost,XGBoost,16,0.8442299254058797,0.9765883838292134,0.9277608810161283,5.879741138414829e-12,2.9213409469264207e-11,1.612832090103211e-11,"r_mean_flux, z_peak_flux, i_std_flux, peak_color_g_minus_r, r_peak_flux","i_peak_flux, i_amplitude, peak_color_r_minus_i, z_peak_flux, peak_color_g_minus_r"
random_forest,Random Forest,16,0.8238341968911918,0.9737788204191467,0.9235547012709012,-0.02039572850880822,-0.0028095633808533638,-0.004206179729098758,"z_peak_flux, i_peak_flux, peak_color_g_minus_r, r_mean_flux, peak_color_r_minus_i","peak_color_r_minus_i, peak_color_g_minus_r, i_peak_flux, r_mean_flux, z_peak_flux"
logistic_regression,Logistic Regression,16,0.7135478744537148,0.8948011577192785,0.607942500102881,-0.13068205094628516,-0.08178722608072153,-0.319818380897119,"peak_color_r_minus_i, r_peak_flux, i_std_flux, peak_color_i_minus_z, z_peak_flux","r_peak_flux, z_peak_flux, peak_color_r_minus_i, peak_color_i_minus_z, i_std_flux"
svm_rbf,Support Vector Machine,16,0.8352713178294574,0.9703404038459909,0.8858945719062158,-0.008958607570542565,-0.006247979954009164,-0.04186630909378419,"i_std_flux, r_mean_flux, r_std_flux, g_mean_flux, r_peak_flux","i_std_flux, r_mean_flux, r_std_flux, g_mean_flux, r_peak_flux"
